me,code,taxonomy,description,bin.length,GC,prop.gc,coverage,num.contigs,num.features,longest.contig,RP.Inventory.max.55,RP.multiple,BSCG.Inventory.max.51,BSCG.multiple,ASCG.Inventory.max.38,ASCG.multiple,curation.status,completion.status,domain,phylum,class,order,genus,species,misc,drep.filt,drep.set,drep.prim.clust,drep.sec.clust,R1.16,R1.18,R2.16,R2.18,R3.16,R3.18,mean.16,mean.18,afe.mean,afe.median,lower.ci,upper.ci,ci.range,phylum.afe.order,site,sample,cov,rel.abund,gtdb.domain,gtdb.phylum,gtdb.class,gtdb.order,gtdb.family,gtdb.genus,gtdb.species
H3-16-all-fractions_metab_132,H3-16-all-fractions_Bacteria_57_0,Bacteria,NA,7301316,56.82,0.5682,0,228,6431,358788,49,1,48,1,14,2,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,NA,269,269_1,1.715252507,1.720294575,1.717727284,1.722610908,1.715702913,1.718710201,1.716227568,1.720538561,0.063459948,0.063924782,0.044606654,0.074807888,0.030201234,1848,H,H3-16,1.065752547,0.006733234,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__
H3-16-all-fractions_metab_conc_29,H3-16-all-fractions_Actinobacteria_71_0,"Actinobacteria, Actinobacteria, Bacteria",NA,7569856,71.39,0.7139,0,355,7347,113231,33,3,35,5,10,3,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,193,193_1,1.723610631,1.727272664,1.724634196,1.729445895,1.726493451,1.730948944,1.724912759,1.729222501,0.063718227,0.063599365,0.054081884,0.071018279,0.016936395,177,H,H3-16,1.084716376,0.006853044,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,g__Palsa-504,s__
H3-18-all-fractions_metab_conc_64,H3-18-all-fractions_Actinobacteria_71_15,"Actinobacteria, Actinobacteria, Bacteria",NA,7573991,71.39,0.7139,15.09,463,7406,122416,25,1,29,4,12,5,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,NA,193,193_1,1.723609489,1.727266186,1.724620105,1.729450118,1.726501779,1.730950723,1.724910457,1.729222342,0.063728273,0.063631072,0.054003113,0.071289156,0.017286043,1023,H,H3-18,1.273889468,0.010149551,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,g__Palsa-504,s__
H1-18-all-fractions_metab_conc_80,H1-18-all-fractions_Solirubrobacterales_69_26,"Solirubrobacterales, Thermoleophilia, Actinobacteria, Bacteria",NA,2429613,68.64,0.6864,25.88,21,2454,411304,43,0,48,3,13,1,Uncurated genome,near complete,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,unknown,unknown,unknown,1,1,136,136_1,1.721956697,1.730146182,1.730357057,1.728345988,1.724907176,1.732266181,1.72574031,1.730252784,0.066501578,0.066556228,-0.029582907,0.121055305,0.150638212,206,H,H1-18,2.349740357,0.01711278,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__70-9,g__,s__
H1-16-all-fractions_metab_conc_19,H1-16-all-fractions_Solirubrobacterales_69_18,"Solirubrobacterales, Thermoleophilia, Actinobacteria, Bacteria",NA,2283651,68.68,0.6868,18.13,62,2345,166646,44,1,47,3,12,1,Uncurated genome,near complete,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,unknown,unknown,unknown,1,NA,136,136_1,1.721982761,1.730158823,1.730611245,1.728674575,1.724686453,1.732271523,1.725760153,1.730368307,0.067185879,0.067966714,-0.028484325,0.120855133,0.149339458,1170,H,H1-16,2.312786397,0.01721491,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__70-9,g__,s__
H2-16-all-fractions_metab_56,H2-16-all-fractions_Actinobacteria_73_59,"Actinobacteria, Actinobacteria, Bacteria",NA,4443026,73.15,0.7315,59.45,55,4145,358885,26,0,28,1,12,2,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,214,214_1,1.737958082,1.742867167,1.738748043,1.744863774,1.741050277,1.744721933,1.739252134,1.744150958,0.071460163,0.071698532,0.053682362,0.089534969,0.035852607,88,H,H2-16,2.834580457,0.017240024,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Frankiaceae,g__,s__
H3-16-all-fractions_metab_76,H3-16-all-fractions_Alphaproteobacteria_69_0,"Alphaproteobacteria, Proteobacteria, Bacteria",NA,6587199,68.52,0.6852,0,1660,7588,30392,38,5,43,8,11,1,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,unknown,unknown,unknown,unknown,1,1,59,59_0,1.721151912,1.725289658,1.722641132,1.728378301,1.724266715,1.729181921,1.722686587,1.727616627,0.07293426,0.072843831,0.061191793,0.084771801,0.023580008,335,H,H3-16,0.577421498,0.003648046,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Geminicoccales,f__Geminicoccaceae,g__,s__
H2-18-all-fractions_metab_conc_39,H2-18-all-fractions_Bacteria_66_9,Bacteria,NA,5371659,65.77,0.6577,8.73,666,4738,58568,38,3,38,4,10,1,Uncurated genome,partial,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,298,298_0,1.723319339,1.721734461,1.719741078,1.722165524,1.716797619,1.730755364,1.719952679,1.724885116,0.073346692,0.072991865,-0.023407742,0.206930981,0.230338723,425,H,H2-18,1.227347539,0.007204315,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__
H1-18-all-fractions_conc_122,H1-18-all-fractions_Actinobacteria_70_12,"Actinobacteria, Actinobacteria, Bacteria",NA,4667634,70.45,0.7045,11.51,408,5244,44937,19,3,22,8,11,4,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,80,80_0,1.723024043,1.727341569,1.724245089,1.728918568,1.72601709,1.731961315,1.724428741,1.729407151,0.073479724,0.073486489,0.06378311,0.087662177,0.023879067,193,H,H1-18,0.749638675,0.005459498,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__20CM-4-69-9,g__Palsa-739,s__
H2-16-all-fractions_metab_conc_1,H2-16-all-fractions_Acidobacteriales_58_9,"Acidobacteriales, Acidobacteriia, Acidobacteria, Bacteria",NA,4412935,57.81,0.5781,9.16,241,4037,98057,26,4,28,5,11,1,Uncurated genome,partial,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,unknown,unknown,unknown,1,1,24,24_1,1.715692308,1.723099747,1.719454611,1.724081254,1.720331734,1.723127466,1.718492884,1.723436156,0.073780734,0.073204947,0.041357763,0.109875888,0.068518125,7,H,H2-16,0.841487759,0.00511796,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Sulfotelmatobacter,s__Sulfotelmatobacter sp003223595
H1-18-all-fractions_conc_53,H1-18-all-fractions_Chloroflexi_64_10,"Chloroflexi, Bacteria",NA,8784585,64.36,0.6436,9.58,967,8029,45044,49,1,50,5,14,4,Uncurated genome,near complete,Bacteria,Chloroflexi,unknown,unknown,unknown,unknown,unknown,1,1,171,171_0,1.716224257,1.72264479,1.720627487,1.72432684,1.720416483,1.725283439,1.719089409,1.724085023,0.073948418,0.073962215,0.054721556,0.095217449,0.040495893,228,H,H1-18,0.546867576,0.003982748,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__Kouleothrix,s__
H3-18-all-fractions_metab_29,H3-18-all-fractions_Bacteria_58_22,Bacteria,NA,5228117,58.31,0.5831,21.62,75,4468,480420,50,0,49,1,14,0,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,NA,19,19_1,1.71282175,1.719533686,1.715580875,1.718748964,1.716702329,1.721898942,1.715034985,1.720060531,0.074317277,0.074574005,0.046996264,0.099727028,0.052730764,1810,H,H3-18,1.645549531,0.013110705,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__
H3-18-all-fractions_metab_conc_28,H3-18-all-fractions_Alphaproteobacteria_63_10,"Alphaproteobacteria, Proteobacteria, Bacteria",NA,5044501,62.94,0.6294,10.24,183,4725,192168,24,2,26,3,10,1,Uncurated genome,partial,Bacteria,Proteobacteria,Alphaproteobacteria,unknown,unknown,unknown,unknown,1,NA,50,50_1,1.716378917,1.721297629,1.719070788,1.724669727,1.720570672,1.725181227,1.718673459,1.723716194,0.074698794,0.074676227,0.068200935,0.082893696,0.014692761,1574,H,H3-18,0.979227451,0.007801869,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__
H1-16-all-fractions_metab_conc_6,H1-16-all-fractions_Bacteria_69_19,Bacteria,NA,7516630,68.58,0.6858,18.97,109,6474,357238,51,1,50,4,12,1,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,55,55_1,1.721712568,1.731694052,1.733191328,1.72924439,1.725099518,1.73457179,1.726667805,1.731836744,0.075083035,0.076197664,-0.057964583,0.147565032,0.205529616,432,H,H1-16,2.454959149,0.018273153,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5704,f__UBA5704,g__,s__
H3-16-all-fractions_metab_conc_31,H3-16-all-fractions_Alphaproteobacteria_63_0,"Alphaproteobacteria, Proteobacteria, Bacteria",NA,4887832,62.77,0.6277,0,52,4500,426642,47,0,48,1,10,0,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,unknown,unknown,unknown,unknown,1,1,50,50_1,1.716288443,1.721316585,1.719036277,1.724801065,1.720470172,1.725094206,1.718598298,1.723737285,0.075968924,0.076104717,0.068404114,0.085350613,0.016946499,329,H,H3-16,1.07014119,0.00676096,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__
H2-16-all-fractions_metab_94,H2-16-all-fractions_Actinobacteria_68_178,"Actinobacteria, Actinobacteria, Bacteria",NA,3596147,67.95,0.6795,178.48,25,3757,364099,47,0,49,1,13,0,Uncurated genome,near complete,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,NA,123,123_1,1.728075005,1.734891149,1.732165302,1.737077997,1.733792256,1.737780579,1.731344187,1.736583242,0.077414913,0.077021877,0.058551487,0.100397013,0.041845526,665,H,H2-16,12.92364566,0.078602096,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__20CM-4-69-9,g__PALSA-600,s__
H1-18-all-fractions_conc_118,H1-18-all-fractions_Deltaproteobacteria_70_14,"Deltaproteobacteria, Proteobacteria, Bacteria",NA,4813784,70.01,0.7001,13.93,558,4833,43280,39,1,38,2,11,2,Uncurated genome,partial,Bacteria,Proteobacteria,Deltaproteobacteria,unknown,unknown,unknown,unknown,1,1,77,77_0,1.722081897,1.727098849,1.72334826,1.728547192,1.725021899,1.730901758,1.723484019,1.728849266,0.079235852,0.079239471,0.074155823,0.08676236,0.012606537,342,H,H1-18,0.358104049,0.002608014,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__40CM-4-68-19,g__40CM-4-68-19,s__
H1-18-all-fractions_metab_conc_61,H1-18-all-fractions_Actinobacteria_70_18,"Actinobacteria, Actinobacteria, Bacteria",NA,2433400,69.78,0.6978,18.44,230,2628,60199,32,7,36,6,11,3,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,99,99_0,1.722122434,1.726909749,1.723412452,1.729148192,1.725173722,1.730864976,1.723569536,1.728974306,0.079822681,0.079818904,0.070759602,0.084714466,0.013954865,152,H,H1-18,1.617424956,0.011779445,d__Bacteria,p__Actinobacteriota,c__UBA4738,o__UBA4738,f__HRBIN12,g__,s__
H2-16-all-fractions_metab_conc_97,H2-16-all-fractions_Actinobacteria_72_48,"Actinobacteria, Actinobacteria, Bacteria",NA,3157618,72.28,0.7228,47.9,282,3366,58684,23,0,24,1,11,0,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,150,150_0,1.736226394,1.744228737,1.737907059,1.741876821,1.740170217,1.745055123,1.738101224,1.743720227,0.083105956,0.082292292,0.058145062,0.11732369,0.059178629,84,H,H2-16,2.221222659,0.013509559,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Thermoleophilaceae,g__,s__
H3-16-all-fractions_metab_67,H3-16-all-fractions_RIF_CHLX_70_0,"RIF-CHLX, Bacteria",NA,3267918,70.48,0.7048,0,609,3587,58875,35,7,36,10,10,3,Uncurated genome,partial,Bacteria,RIF-CHLX,unknown,unknown,unknown,unknown,unknown,1,1,92,92_0,1.72285118,1.727388785,1.723995902,1.730362164,1.725742879,1.731789335,1.724196653,1.729846761,0.083658908,0.083412708,0.067041114,0.093996266,0.026955152,357,H,H3-16,0.657956325,0.00415685,d__Bacteria,p__Chloroflexota_A,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__,s__
H3-16-all-fractions_metab_130,H3-16-all-fractions_Bacteria_58_0,Bacteria,NA,5210819,58.33,0.5833,0,74,4513,333962,50,0,49,1,14,0,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,19,19_1,1.713485437,1.721528291,1.715658049,1.71941801,1.716720848,1.721928557,1.715288111,1.720958286,0.083704477,0.084127245,0.055773749,0.119455757,0.063682007,397,H,H3-16,1.921560789,0.012140077,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__
H3-18-all-fractions_metab_conc_49,H3-18-all-fractions_Actinobacteria_70_18,"Actinobacteria, Actinobacteria, Bacteria",NA,4114958,70.2,0.702,18.01,367,4395,74509,46,7,48,6,12,1,Uncurated genome,near complete,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,125,125_0,1.722755796,1.727862244,1.723882099,1.729963471,1.725749615,1.731598779,1.72412917,1.729808165,0.083926169,0.083842071,0.075449352,0.089795461,0.014346109,154,H,H3-18,0.698904244,0.00556843,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__20CM-4-69-9,g__PALSA-600,s__
H1-18-all-fractions_metab_conc_19,H1-18-all-fractions_Rhizobiales_64_12,"Rhizobiales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,2604427,63.56,0.6356,12.25,223,2725,39001,24,1,25,2,10,0,Uncurated genome,partial,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unknown,unknown,unknown,1,1,272,272_0,1.716989681,1.722683263,1.719633289,1.725865787,1.72102263,1.72630704,1.7192152,1.72495203,0.084936793,0.084928941,0.078149086,0.092244457,0.014095371,330,H,H1-18,0.613250923,0.004466208,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Anderseniellaceae,g__,s__
H1-18-all-fractions_metab_maxb_101,H1-18-all-fractions_Bacteria_63_9,Bacteria,NA,5050636,62.55,0.6255,8.96,549,4340,51723,45,0,48,1,14,0,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,33,33_0,1.71614036,1.722702388,1.718921645,1.724402672,1.720390968,1.72572828,1.718484324,1.72427778,0.08580015,0.085802305,0.07895912,0.097317759,0.018358638,410,H,H1-18,1.102592608,0.008030004,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__54-19,f__,g__,s__
H2-18-all-fractions_metab_19,H2-18-all-fractions_Actinobacteria_69_59,"Actinobacteria, Actinobacteria, Bacteria",NA,2947858,68.63,0.6863,58.58,17,3110,678401,45,1,50,2,13,2,Uncurated genome,near complete,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,NA,116,116_1,1.721857353,1.728344151,1.723083378,1.728189449,1.72501443,1.73081976,1.723318387,1.729117786,0.085829098,0.085657787,0.075427531,0.095892035,0.020464504,927,H,H2-18,5.53721729,0.032502495,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__20CM-4-69-9,g__Palsa-739,s__
H1-18-all-fractions_conc_108,H1-18-all-fractions_Bacteria_69_11,Bacteria,NA,6933267,68.93,0.6893,11.25,668,6598,67373,50,2,50,7,12,1,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,55,55_2,1.722234737,1.731432787,1.730435901,1.729272947,1.725053224,1.734491593,1.725907954,1.731732442,0.085839018,0.085899703,-0.017106391,0.139266269,0.15637266,433,H,H1-18,0.62964681,0.004585616,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5704,f__UBA5704,g__,s__
H3-18-all-fractions_metab_conc_68,H3-18-all-fractions_Actinobacteria_70_22,"Actinobacteria, Actinobacteria, Bacteria",NA,2875867,70.36,0.7036,21.65,106,3013,140311,45,2,49,3,11,1,Uncurated genome,near complete,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,NA,111,111_1,1.722971568,1.727616864,1.7241175,1.730971781,1.725936556,1.731922362,1.724341875,1.730170336,0.086214993,0.086038342,0.068627286,0.10119441,0.032567124,934,H,H3-18,1.367809393,0.010897846,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__,g__,s__
H1-18-all-fractions_metab_conc_29,H1-18-all-fractions_Actinobacteria_70_15,"Actinobacteria, Actinobacteria, Bacteria",NA,3067897,70.32,0.7032,14.57,100,3234,176465,24,0,28,3,10,3,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,NA,111,111_1,1.722917376,1.727587648,1.724069121,1.730951209,1.725891369,1.731899124,1.724292622,1.730145994,0.086422307,0.086408466,0.068998383,0.101607725,0.032609342,931,H,H1-18,1.061622538,0.007731626,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__,g__,s__
H1-16-all-fractions_metab_conc_37,H1-16-all-fractions_Actinobacteria_70_13,"Actinobacteria, Actinobacteria, Bacteria",NA,3023131,70.31,0.7031,13.45,107,3217,92300,47,1,51,2,12,2,Uncurated genome,near complete,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,111,111_1,1.722884726,1.727595668,1.724042368,1.730945393,1.725873604,1.731899621,1.7242669,1.730146894,0.086742569,0.086802772,0.069600549,0.10191841,0.032317861,147,H,H1-16,1.687402765,0.012559952,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__,g__,s__
H3-16-all-fractions_metab_conc_137,H3-16-all-fractions_Actinobacteria_70_0,"Actinobacteria, Actinobacteria, Bacteria",NA,3087569,70.19,0.7019,0,98,3221,194790,23,0,26,1,11,2,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,NA,111,111_1,1.72282565,1.727537353,1.724005546,1.730911168,1.725825643,1.73185053,1.724218946,1.730099684,0.086997289,0.08681597,0.069614028,0.101958725,0.032344697,929,H,H3-16,1.997429211,0.0126194,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__,g__,s__
H1-16-all-fractions_metab_conc_20,H1-16-all-fractions_Bacteria_65_10,Bacteria,NA,3126185,64.8,0.648,10.11,282,3125,65397,47,0,47,3,12,0,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,285,285_1,1.718352868,1.725285419,1.723167165,1.726957637,1.722092878,1.729351479,1.721204304,1.727198178,0.0882799,0.088633478,0.05598716,0.107280036,0.051292876,429,H,H1-16,1.494057083,0.01112081,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,g__,s__
H1-18-all-fractions_metab_conc_40,H1-18-all-fractions_Bacteria_65_17,Bacteria,NA,3148417,64.72,0.6472,17.33,363,3273,46585,49,1,49,2,14,0,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,285,285_2,1.718318814,1.725262401,1.723119556,1.726914442,1.722080754,1.729296297,1.721173041,1.727157713,0.088471629,0.088498895,0.056053843,0.106644275,0.050590431,428,H,H1-18,1.41297639,0.010290479,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,g__,s__
H2-16-all-fractions_metab_conc_72,H2-16-all-fractions_Acidobacteria_56_20,"Acidobacteria, Bacteria",NA,6879157,56.45,0.5645,20.46,276,6517,259243,51,1,51,1,13,1,Uncurated genome,near complete,Bacteria,Acidobacteria,unknown,unknown,unknown,unknown,unknown,1,NA,20,20_1,1.714587732,1.723327293,1.716884845,1.723033936,1.719282327,1.722917566,1.716918301,1.723092932,0.09205992,0.091522004,0.053808384,0.129716153,0.075907769,449,H,H2-16,1.948006177,0.011847846,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__,s__
H2-18-all-fractions_metab_91,H2-18-all-fractions_Actinobacteria_71_22,"Actinobacteria, Actinobacteria, Bacteria",NA,2463077,70.55,0.7055,21.91,65,2624,144299,24,0,27,1,10,1,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,117,117_1,1.722349423,1.729899535,1.724445992,1.729244538,1.725495071,1.732613844,1.724096828,1.730585972,0.096201416,0.095805081,0.070830913,0.111582203,0.04075129,137,H,H2-18,2.30420701,0.013525291,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__20CM-4-69-9,g__Palsa-739,s__
H3-18-all-fractions_metab_conc_30,H3-18-all-fractions_Actinobacteria_69_22,"Actinobacteria, Actinobacteria, Bacteria",NA,2833654,69.37,0.6937,22.03,149,3047,91056,45,0,51,1,14,1,Uncurated genome,near complete,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,121,121_1,1.721974334,1.727818467,1.723365714,1.7302588,1.725037472,1.731932945,1.723459174,1.730003404,0.096753357,0.096652282,0.086386901,0.101810081,0.015423179,145,H,H3-18,1.426369445,0.011364416,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__20CM-4-69-9,g__3-1-20CM-4-69-9,s__
H1-16-all-fractions_metab_conc_5,H1-16-all-fractions_Actinobacteria_69_28,"Actinobacteria, Actinobacteria, Bacteria",NA,2863122,69.38,0.6938,27.61,131,3102,74164,36,0,43,2,13,1,Uncurated genome,near complete,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,NA,121,121_1,1.721966459,1.727829187,1.723351662,1.730264947,1.725037618,1.731952096,1.723451913,1.73001541,0.096823633,0.096937261,0.086662207,0.102109267,0.01544706,921,H,H1-16,3.909442645,0.029099402,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__20CM-4-69-9,g__3-1-20CM-4-69-9,s__
H2-16-all-fractions_metab_conc_111,H2-16-all-fractions_Actinobacteria_70_68,"Actinobacteria, Actinobacteria, Bacteria",NA,4067991,69.8,0.698,68.34,818,4835,27603,44,15,45,13,13,3,Uncurated genome,megabin,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,144,144_3,1.731464636,1.740388443,1.735561225,1.740120135,1.736533829,1.742698964,1.734519896,1.74106918,0.096999016,0.096110781,0.066861891,0.131187997,0.064326106,78,H,H2-16,4.236807964,0.025768424,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Thermoleophilaceae,g__,s__
H3-16-all-fractions_metab_conc_21,H3-16-all-fractions_Actinobacteria_69_0,"Actinobacteria, Actinobacteria, Bacteria",NA,2645118,69.32,0.6932,0,147,2874,79206,26,2,33,2,10,1,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,NA,121,121_1,1.72191913,1.727798142,1.723317387,1.73021851,1.724996762,1.731906812,1.723411093,1.729974488,0.09711733,0.096937946,0.086905198,0.101964045,0.015058846,919,H,H3-16,2.072475127,0.013093527,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__20CM-4-69-9,g__3-1-20CM-4-69-9,s__
H1-18-all-fractions_metab_conc_42,H1-18-all-fractions_Actinobacteria_69_31,"Actinobacteria, Actinobacteria, Bacteria",NA,3045551,69.36,0.6936,30.79,201,3323,83927,34,3,38,3,13,2,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,NA,121,121_1,1.721947166,1.727842973,1.723338458,1.730264298,1.725021167,1.731967535,1.723435597,1.730024935,0.097323425,0.0973198,0.087152109,0.102498569,0.01534646,917,H,H1-18,2.87856958,0.020964158,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__20CM-4-69-9,g__3-1-20CM-4-69-9,s__
H3-16-all-fractions_metab_43,H3-16-all-fractions_Acidobacteria_54_0,"Acidobacteria, Bacteria",NA,3584057,53.9,0.539,0,488,3647,37546,17,2,19,1,9,1,Uncurated genome,partial,Bacteria,Acidobacteria,unknown,unknown,unknown,unknown,unknown,1,1,23,23_0,1.709962775,1.718123426,1.71382786,1.719514211,1.714624781,1.720618381,1.712805139,1.719418673,0.097892093,0.09825891,0.084433111,0.121446342,0.037013231,12,H,H3-16,0.448961132,0.002836456,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__,s__
H2-18-all-fractions_metab_conc_43,H2-18-all-fractions_Actinobacteria_73_15,"Actinobacteria, Actinobacteria, Bacteria",NA,6403802,73.1,0.731,14.64,610,6440,54634,22,1,23,1,13,4,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,NA,192,192_1,1.724969825,1.730495299,1.725806769,1.733315987,1.727875293,1.734802215,1.726217296,1.732871167,0.097899202,0.09812045,0.081539616,0.110760047,0.029220431,899,H,H2-18,2.063029092,0.012109619,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__QHCA01,g__,s__
H3-18-all-fractions_conc_114,H3-18-all-fractions_Actinobacteria_73_10,"Actinobacteria, Actinobacteria, Bacteria",NA,6661699,72.54,0.7254,10.29,1493,7467,25389,37,3,42,8,12,5,Uncurated genome,near complete,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,192,192_2,1.724582671,1.730226354,1.725511804,1.733122201,1.7275231,1.734557638,1.725872525,1.732635398,0.099912499,0.099746858,0.08330199,0.11227061,0.02896862,135,H,H3-18,1.296571812,0.01033027,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__QHCA01,g__,s__
