isolate,class,phylum,response,mingt,rrn,genomesize,monomer,ontology,BGE,rgrowth,BP,BR
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,methionine ,Amino acids,0.4158032172095691,0.06314080636970379,8.502911207055048e-9,8.865083390373855e-9
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,methionine ,Amino acids,0.42632101048407706,0.03536112778299693,4.0944137986098466e-9,4.79378242801105e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,N-acetyl-D-glucosamine ,Sugars,0.6562040026398412,0.022394055117566425,2.3222232145682744e-9,1.156601266407513e-9
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,N-acetyl-D-glucosamine ,Sugars,0.41522932731068307,0.11623685835666195,2.0002812941120808e-8,1.5381435020805945e-8
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,N-acetyl-D-glucosamine ,Sugars,0.5238083817441508,0.04862668635971945,5.7997134678575385e-9,4.43371107946612e-9
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,N-acetyl-D-glucosamine ,Sugars,0.6244322926794144,0.012905319131030345,1.1511575508280788e-9,6.921788520273781e-10
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,N-acetyl-D-glucosamine ,Sugars,0.648840908044144,0.02059756575053912,2.0454747773495344e-9,1.0879342334965553e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,N-acetyl-D-glucosamine ,Sugars,0.6413296857026547,0.016843511838329515,1.5934116403685454e-9,8.873149327759381e-10
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,N-acetyl-D-glucosamine ,Sugars,0.5127529679760762,0.09253991495838366,1.4633480918872384e-8,8.14619742254862e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,N-acetyl-D-glucosamine ,Sugars,0.6805490620204512,0.06368275160145381,7.918041052311764e-9,2.7821252990436547e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,N-acetyl-D-glucosamine ,Sugars,0.5490011535493167,0.11020831160371809,1.610574728258911e-8,7.353859785780942e-9
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,N-acetyl-D-glucosamine ,Sugars,0.6141983183330033,0.08764347339735601,1.2014761116449915e-8,4.185339601880879e-9
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,N-acetyl-D-glucosamine ,Sugars,0.5339572632685161,0.010445243109852788,8.774365547861282e-10,7.658354143492809e-10
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,N-acetyl-D-glucosamine ,Sugars,0.6801238757211974,0.04814169647881472,5.7543621093325125e-9,2.122013446365368e-9
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,N-acetyl-D-glucosamine ,Sugars,0.5332146581865578,0.060678694375413685,8.383752261882392e-9,4.674914613151237e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,N-acetyl-D-glucosamine ,Sugars,0.5175114129376507,0.06947727863725375,9.560736507222219e-9,5.760999087384614e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,N-acetyl-D-glucosamine ,Sugars,0.5489049731446708,0.04879685148929776,6.429540327563554e-9,3.4400111731395773e-9
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,N-acetyl-D-glucosamine ,Sugars,0.5268985212034,0.09645484549179044,1.4288794496101291e-8,7.411371913873238e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,N-acetyl-D-glucosamine ,Sugars,0.58269822622264,0.08760180649652025,1.209327566283306e-8,5.179276704894632e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,N-acetyl-D-glucosamine ,Sugars,0.5759160642346414,0.021455665005679178,2.190088793148282e-9,1.544792230712829e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,N-acetyl-D-glucosamine ,Sugars,0.6851376832916163,0.06749035023708991,8.699028041252733e-9,2.3618728590852083e-9
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,N-acetyl-D-glucosamine ,Sugars,0.6395453596988688,0.05772531110852974,7.517174200750678e-9,2.8219280215674757e-9
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,N-acetyl-D-glucosamine ,Sugars,0.639355650494629,0.05726122931638601,7.230346999583439e-9,2.8980284092691945e-9
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,N-acetyl-D-glucosamine ,Sugars,0.6827809326703855,0.06102534752881793,7.582628338704049e-9,2.640063654871371e-9
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,N-acetyl-D-glucosamine ,Sugars,0.5912476700647461,0.11783916995319756,1.8094197417881722e-8,6.2906554210932455e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,N-acetyl-D-glucosamine ,Sugars,0.501154839836104,0.0614570602592551,8.265471081534676e-9,5.848257626606068e-9
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,N-acetyl-D-glucosamine ,Sugars,0.519439991287229,0.040728311880805876,4.563179159727106e-9,3.899574032225595e-9
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,N-acetyl-D-glucosamine ,Sugars,0.5342479779326187,0.03329736250465811,3.617261727328269e-9,2.9629011092294684e-9
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,N-acetyl-D-glucosamine ,Sugars,0.46332170021479463,0.038204476558814135,4.581995878282051e-9,4.233066543338638e-9
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,N-acetyl-D-glucosamine ,Sugars,0.595954360089073,0.04122504218024364,4.747342119422447e-9,2.7528217831982273e-9
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,N-acetyl-D-glucosamine ,Sugars,0.44287962150394283,0.13834512153476466,4.2108124909725835e-8,1.9131408588481992e-8
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,N-acetyl-D-glucosamine ,Sugars,0.5351142661646852,0.09837585065728777,1.3546988495395876e-8,8.383778333855409e-9
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,N-acetyl-D-glucosamine ,Sugars,0.5923514667212946,0.011566242264343059,1.005733282509078e-9,6.920378147494769e-10
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,N-acetyl-D-glucosamine ,Sugars,0.4622578249632362,0.014502398824606428,1.3363027940353835e-9,1.552306260984621e-9
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,N-acetyl-D-glucosamine ,Sugars,0.6794635100420201,0.04817990687223546,5.805184506869585e-9,2.0875610448413788e-9
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,N-acetyl-D-glucosamine ,Sugars,0.6851356958561535,0.06544359746799792,8.424354667794921e-9,2.490228214518228e-9
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,N-acetyl-D-glucosamine ,Sugars,0.6821056113039419,0.04921490309090252,6.13765837653516e-9,1.5583208752310588e-9
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,N-acetyl-D-glucosamine ,Sugars,0.6674639530839099,0.02682945036524113,2.9420664245730586e-9,1.2733784439671196e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,N-acetyl-D-glucosamine ,Sugars,0.4898848149377647,0.19376337302167468,3.027155732905311e-8,1.7375543044351336e-8
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,N-acetyl-D-glucosamine ,Sugars,0.4489677663357669,0.05913739175103699,8.02838003864972e-9,7.21031100996039e-9
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,N-acetyl-D-glucosamine ,Sugars,0.41046383386749874,0.012628918425061307,1.1281505284732537e-9,1.6196991022534975e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,nicotinic acid,Organic acids,NaN,0.010683492764134443,NaN,3.781879450890278e-10
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,nicotinic acid,Organic acids,0.34481570655827215,0.04354217827628816,4.881868678319345e-9,8.403580263925177e-9
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,nicotinic acid,Organic acids,0.24234164619279208,0.005186535742278997,1.6235244722285358e-10,5.665288387093181e-10
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,nicotinic acid,Organic acids,0.6053724616591574,0.02286605377702094,2.291284758624119e-9,1.4749904083566552e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,nicotinic acid,Organic acids,0.5987265097564691,0.020312838621593565,2.01057094391946e-9,1.3253872894800417e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,nicotinic acid,Organic acids,0.6046192218200613,0.022099138554540453,2.232165799705816e-9,1.4209490680460093e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,nicotinic acid,Organic acids,0.42416636808524677,0.023308000240254194,2.288463106076546e-9,3.076599625842165e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,nicotinic acid,Organic acids,0.6147135431981184,0.03181146869100488,3.3819032638323763e-9,2.0109811524326753e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,nicotinic acid,Organic acids,NaN,0.009419682249205039,NaN,7.883381044846048e-10
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,nicotinic acid,Organic acids,NaN,0.005488182897909237,NaN,3.387196247924731e-10
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,nicotinic acid,Organic acids,0.5519717207912496,0.03668079333344161,4.233737653146701e-9,2.8265152730137843e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,nicotinic acid,Organic acids,0.3135334062351214,0.009880686990689577,1.0931589805304173e-10,4.244547782296807e-10
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,nicotinic acid,Organic acids,0.48087504752790283,0.040242640428887824,4.636146946245393e-9,4.362712231832656e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,nicotinic acid,Organic acids,0.4240279870886826,0.015804594010728958,1.438061085057316e-9,1.950861532953204e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,nicotinic acid,Organic acids,0.37306285717069304,0.006455651003458098,4.1066955950856424e-10,6.90828912212e-10
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,nicotinic acid,Organic acids,0.42840571248473114,0.017786626954844967,1.6523014048236365e-9,2.1915614640434314e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,nicotinic acid,Organic acids,0.49212309934372045,0.019494950624311634,1.846933264858441e-9,1.892211149110919e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,nicotinic acid,Organic acids,0.5325951233160691,0.02109878607612581,2.190635919891075e-9,1.7855487724027157e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,nicotinic acid,Organic acids,0.4531477499023858,0.005530918252545414,2.791508996495184e-10,3.457608339665006e-10
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,nicotinic acid,Organic acids,0.42360054388380736,0.005706502106685781,3.2425687448152553e-10,4.4693561609885637e-10
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,nicotinic acid,Organic acids,0.3229316211909303,0.005327910405142655,1.5135125569319088e-10,3.703768790258288e-10
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,nicotinic acid,Organic acids,NaN,0.006333682369202488,NaN,2.766423223332657e-10
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,nicotinic acid,Organic acids,0.4735404237977643,0.015192054084412475,1.330634579462487e-9,1.4783489075637396e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,nicotinic acid,Organic acids,NaN,0.008114189905083974,NaN,8.205347316876465e-10
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,nicotinic acid,Organic acids,0.400334684077298,0.009527379645542237,7.629043372962823e-10,1.1427698948605822e-9
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,nicotinic acid,Organic acids,0.42495495626288615,0.009728418589425475,7.794683465304947e-10,1.0547718179611647e-9
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,nicotinic acid,Organic acids,0.33729624833554783,0.007765728199928764,5.790553247274265e-10,1.1378257865899385e-9
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,nicotinic acid,Organic acids,NaN,0.005968324045501484,NaN,3.4891558010161053e-10
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,nicotinic acid,Organic acids,0.2802692295354205,0.016276783199020223,1.416710566893201e-9,3.63606430147451e-9
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,nicotinic acid,Organic acids,0.48720016611631206,0.07560991640075398,9.053213857041464e-9,8.159187024683321e-9
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,nicotinic acid,Organic acids,0.6040939966623339,0.026713563756268915,2.8757700188459e-9,1.7514780512124847e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,nicotinic acid,Organic acids,0.35084422337007476,0.006575241165926912,4.5017689986589896e-10,8.335575178194062e-10
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,nicotinic acid,Organic acids,NaN,0.013661847544747302,NaN,4.942792882633946e-10
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,nicotinic acid,Organic acids,NaN,0.00854259388866368,NaN,3.210203003783367e-10
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,nicotinic acid,Organic acids,0.5721583496929799,0.01098393913746654,9.376968212498702e-10,7.011806541951218e-10
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,nicotinic acid,Organic acids,0.6111807680300396,0.02192670261622357,2.312489802466382e-9,1.3232923815680877e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,nicotinic acid,Organic acids,0.4230597763390674,0.08541081848172813,1.1864340739145911e-8,8.876320901780026e-9
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,nicotinic acid,Organic acids,0.21647660749856643,0.005120591035566255,2.385473715918237e-10,8.925939179147855e-10
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,nicotinic acid,Organic acids,0.41824052712455956,0.027084058504649674,2.9122630631840606e-9,3.7920997285769474e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,ornithine,Amino acids,0.632222585193178,0.059174617890589254,7.898580040596312e-9,2.4844944096389013e-9
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,ornithine,Amino acids,0.4066024205028478,0.1393563493163825,3.208317589689876e-8,1.7840019014604538e-8
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,ornithine,Amino acids,0.5074565960531376,0.09949969790990358,1.5627604850810538e-8,7.1134843822176164e-9
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,ornithine,Amino acids,0.6306885673704429,0.05796111785247261,7.453321231711261e-9,2.8121906233938156e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,ornithine,Amino acids,0.6308516967918567,0.060537951077757626,7.879818882123719e-9,2.9282047796550976e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,ornithine,Amino acids,0.6345272300580886,0.06757298977064893,9.430596535007857e-9,2.7349819975765414e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,ornithine,Amino acids,0.4718589425819694,0.09551762533321873,1.407258669142022e-8,1.0181770332761118e-8
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,ornithine,Amino acids,0.6258572009679774,0.057740080813786406,7.419779341921475e-9,3.0086019504317795e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,ornithine,Amino acids,0.49888844865156334,0.08092250138858806,1.2325215723853294e-8,5.809814523215382e-9
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,ornithine,Amino acids,0.5596528426603046,0.0652193355919019,8.889155805845629e-9,3.642399925957699e-9
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,ornithine,Amino acids,0.5571198311705686,0.04888776656415198,6.17749050926628e-9,3.177491435178527e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,ornithine,Amino acids,0.6279844894471198,0.04976692669179154,6.230964226276418e-9,2.4703257235070167e-9
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,ornithine,Amino acids,0.49151906956020697,0.05917893455614437,8.373729090820754e-9,5.107416216466818e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,ornithine,Amino acids,0.48589359339582167,0.08466459817737024,1.3227860822204224e-8,6.832271614030636e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,ornithine,Amino acids,0.518932782233738,0.07867075822639644,1.1066038054968084e-8,5.410483863796555e-9
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,ornithine,Amino acids,0.4889004045037161,0.10158607985781624,1.5722198780491634e-8,8.18909850175186e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,ornithine,Amino acids,0.5497042830033586,0.12114685318315228,1.9496922629414226e-8,6.583814089156413e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,ornithine,Amino acids,0.5631441771148931,0.06552020537791035,8.546964859478886e-9,3.2945030971336226e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,ornithine,Amino acids,0.6284679802652458,0.0562914609015123,7.298577024845784e-9,2.3959853012946442e-9
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,ornithine,Amino acids,0.590457346045899,0.060923870575705585,7.893656952391131e-9,3.6915273590149427e-9
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,ornithine,Amino acids,0.5891952529335664,0.054895447882615855,7.223390211860309e-9,3.160086872935433e-9
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,ornithine,Amino acids,0.6272158169201701,0.0556905629144799,6.872710596822948e-9,3.1179940492986877e-9
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,ornithine,Amino acids,0.5529367211861989,0.1428175576836651,2.3368882220631064e-8,7.543412217428642e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,ornithine,Amino acids,0.4623732176447333,0.062166961236186424,8.354702208173355e-9,6.869375185801378e-9
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,ornithine,Amino acids,0.48650091595195183,0.051079242099276695,6.19628936832911e-9,5.454969538058802e-9
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,ornithine,Amino acids,0.5118541278625193,0.06270349473188828,8.211060422464782e-9,5.541694093798705e-9
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,ornithine,Amino acids,0.42516620501993835,0.0366567841417793,4.313355419170228e-9,4.763425077227641e-9
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,ornithine,Amino acids,0.5616102065213997,0.0630472274096143,8.428648774846395e-9,3.4387120513706394e-9
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,ornithine,Amino acids,0.3397484533664419,0.07638381641936372,9.769717388917578e-9,1.5621566081306805e-8
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,ornithine,Amino acids,0.5475969446632272,0.18177141476819547,5.474021281760081e-8,1.188293217855187e-8
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,ornithine,Amino acids,0.6226792447924396,0.04943067277494097,6.0144848191012e-9,2.75084132621071e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,ornithine,Amino acids,0.48356267883864235,0.05789839636282365,7.507866136264368e-9,5.647410424399506e-9
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,ornithine,Amino acids,0.624661088411457,0.04529140573881788,5.503930201179694e-9,2.4322350590537515e-9
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,ornithine,Amino acids,0.626316871760145,0.0528358865327041,6.404927142429455e-9,2.9457716193477892e-9
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,ornithine,Amino acids,0.6104945311611915,0.02525687360143023,2.724693152582044e-9,1.5343470211534599e-9
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,ornithine,Amino acids,0.6214732527573636,0.0358916181296718,4.180383342797033e-9,1.717069943984653e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,ornithine,Amino acids,0.5084319178937642,0.33687117175529047,6.996720006873588e-8,2.6066599764060692e-8
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,ornithine,Amino acids,0.4158185112428955,0.0632528612690349,8.507580473429772e-9,8.843953805356912e-9
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,ornithine,Amino acids,0.42633092142891665,0.03549074736576169,4.095471600611053e-9,4.812387169080989e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,pantothenic acid ,Organic acids,NaN,0.010683185670347399,NaN,3.573934666842582e-10
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,pantothenic acid ,Organic acids,0.3817470224660582,0.04347930430534028,4.884236760815e-9,7.187179273517281e-9
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,pantothenic acid ,Organic acids,0.28147358796822886,0.005185647517715687,1.6226521512693263e-10,4.732365954685292e-10
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,pantothenic acid ,Organic acids,0.6734319609650826,0.02262873968929241,2.2915817045192216e-9,1.0850269243046027e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,pantothenic acid ,Organic acids,0.6667663177613158,0.02039103381122043,2.0107075586894666e-9,9.927822009707207e-10
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,pantothenic acid ,Organic acids,0.6728175570800262,0.02202791075896682,2.232415108187985e-9,1.0538529857404087e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,pantothenic acid ,Organic acids,0.47117219229854895,0.02334083391885004,2.2892360941810506e-9,2.5474988640244178e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,pantothenic acid ,Organic acids,0.682839726731389,0.03172232309332881,3.382583342962348e-9,1.4881033019629752e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,pantothenic acid ,Organic acids,NaN,0.009418546497765225,NaN,7.318673908238182e-10
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,pantothenic acid ,Organic acids,NaN,0.005487659334030547,NaN,3.052740666491227e-10
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,pantothenic acid ,Organic acids,0.6115865347764621,0.03718553573826437,4.2341200281444384e-9,2.350003000442088e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,pantothenic acid ,Organic acids,0.37820892326433997,0.009879962752680072,1.0924322306386546e-10,3.6515282416929554e-10
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,pantothenic acid ,Organic acids,0.5326737421113857,0.0393797731047454,4.637731003925736e-9,3.4655122517658088e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,pantothenic acid ,Organic acids,0.47272725981244557,0.01580158749441141,1.4379499131769414e-9,1.6016136660218188e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,pantothenic acid ,Organic acids,0.4240018560998478,0.006454545389354082,4.1054665105439354e-10,5.584140782566729e-10
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,pantothenic acid ,Organic acids,0.47721647276754214,0.017824617481134578,1.6522044984121711e-9,1.803279419892488e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,pantothenic acid ,Organic acids,0.5483597866598228,0.01947832874158044,1.846833206099427e-9,1.5089130862962356e-9
